Applicant,Project Title,City,State,Organization Zip,Project Description,Absolute Priority,Competitive Preference Priority,Applicant Type,Grant Type,Award Length,Award Requested,Private Match Waiver,Location
Academy for Educational Development,"ACE Academy: Engaging Hearts, Minds, and Hands in a New Approach to Career and
Technical Education",Washington,DC,20009,"""The proposed project is called ACE Academy: Engaging Hearts, Minds, and Hands in a New Approach to Careerand Technical Education. It is submitted for a four-year Development grant. Official partners include theAcademy for Educational Development (AED), the Oregon Building Congress (OBE), and six Oregon LEAsand schools: the Parkrose, Gresham-Barlow, Centennial, Reynolds, and Redmond School Districts, andBenson Polytechnic High School. We propose to further develop and test an exceptional approach toproficiency-based career technical education that promotes active student engagement, is aligned with rigorousstandards and assessments, and is moving at-risk students to graduation and on to postsecondary education andskilled jobs. This approach is currently being used by the Architecture, Construction, and Engineering (ACE)Academy in Portland. Over the course of four years, we will (1) refine and document the ACE Academycurriculum, pedagogy, and operations, (2) reproduce and test the ACE model in two additional high schools tojudge its replicability in other settings and especially with underachieving students, and (3) test the model at allthree sites to determine its impact on student achievement and graduation rates. This program will reach nofewer than 2,500 juniors and seniors, many of whom are at risk for academic failure. The ACE approach hasbeen endorsed by the Oregon Department of Education and the Oregon Department of Community Collegesand Workforce Development who are recommending it for adoption in every school district in the state.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,Nonprofit w/ LEA,Development,4 years,3968339,No,"Washington, DC
(38.9178, -77.0353)"
Academy for Educational Development,Developing Early Indicator and Response Systems in the Middle Grades,Washington,DC,20009,"""The proposed project, Developing Early Indicator and Response Systems in the Middle Grades (EIRS), issubmitted for a four-year Development grant. Official partners include the Academy for EducationalDevelopment (AED), the Johns Hopkins University Center for Social Organization of Schools (JHU), theConsortium on Chicago School Research (CCSR), American Institutes for Research (AIR, our evaluator),Broward County Public Schools, Chicago Public Schools, Dallas Independent School District, and the AEDSchool Support Organization working in partnership with the New York City Department of Education.Addressing Absolute Priority 2, EIRS facilitates analysis and use of student achievement and other data tokeep middle-grades students on track for high school graduation. The project will develop systems that linkdistrict-level analytics with school-based response teams. AED, JHU, and CCSR will work with districtresearch, IT, and administrative staff to develop indicators and reporting tools, and with district, network andschool leaders to plan and implement comprehensive, targeted data-driven student supports. Coordinated byAED through the project directors, stakeholders will implement and sustain the EIRS effort in each district.The project will also document and develop the knowledge and tools necessary for more widespread use ofEIRS. Outcomes of the project will include: further development of early indicators; strengthened capacity ofdistrict, network and school personnel to analyze, report, and use student data; demonstrations of effectiveschool-based, data-driven response teams; and better support for underachieving students. These intermediateoutcomes will lead to gains in student engagement and achievement and increase the number of at-riskstudents on track for high school graduation. The project will serve approximately 27,000 students by 2014,with strong potential to serve up to 390,000 students in the four districts following the grant period.""",AP2: Use of Data,,Nonprofit w/ LEA,Development,4 years,4993872,No,"Washington, DC
(38.9178, -77.0353)"
Academy for Educational Development,Corporate Partnerships with Education for Student Success in STEM,Washington,DC,20009,"""Called Corporate Partnerships with Education for Student Success in STEM (abbreviated as CP), this project marshals the resources of major private corporations and education practitioners to strengthen functional and academic supports for effective STEM teaching and learning in two urban districts. Partners include the GE Foundation, GE, Boeing, and the Academy for Educational Development. CP partners will provide executive assistance, management tools and training, and STEM content experts to develop the capacity of district leadership, facilities planning, IT, and HR to support STEM teaching and learning. National experts in STEM and professional development will help the LEAs strengthen their STEM curricula and instruction, their support for underachieving students, and their STEM career counseling. District stakeholders using particular collaborative structures and management processes will implement and sustain the STEM reform effort in each LEA. The outcomes of these CP core practices will include (1) a strengthened standards-based STEM curriculum and linked assessments, (2) increased teacher STEM content knowledge, pedagogical proficiency, and use of data to inform instruction, and (3) improved STEM counseling and better support for underachieving students. These intermediate outcomes will ultimately lead to improved student performance on state achievement tests in math and science. The CP project will serve approximately 175,000 students by 2013. Based on our findings, we expect U.S. corporations to form similar partnerships with LEAs nationwide.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,Nonprofit w/ LEA,Development,3 years,4997842,No,"Washington, DC
(38.9178, -77.0353)"
Academy for Urban School Leadership,Turning around high schools,Chicago,IL,60634,"""The Academy for Urban School Leadership (AUSL) and official partner, Chicago Public Schools (CPS), areapplying for a $4,999,553 Development grant to expand our high school turnaround model in Chicago to serve12,000 students by 2014. AUSL is responding to Absolute Priority 4 and Competitive Preference Priorities 6and 7.AUSL has implemented its whole-school transformation model since 2006. The results of the AUSL model areencouraging, particularly for elementary schools. Since then, AUSL has launched eight turnaround schools,including one turnaround high school. With a strong track record of success at the elementary school level,AUSL has made promising progress at the high school level. AUSL will utilize its 16 school/years ofturnaround experience to accelerate substantial student achievement gains in current and future turnaroundhigh schools.""",AP4: Persistently Low-Performing Schools,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ LEA,Development,3 years,4999553,No,"Chicago, IL
(41.9443, -87.8115)"
Academy for Urban School Leadership,Turning Around Schools,Chicago,IL,60634,"""AUSL has more experience and had more success in turning around persistently low performing schools than anyorganization in the country. As a result, AUSL is regarded as a national leader and model in this work. Withthis grant, AUSL will dramatically scale up the impact of its work in Chicago and across the country. AUSLwill apply its expertise from its combined 14 school-years of turnaround experience to accelerate substantialstudent achievement gains in more high need schools, and further validate a scalable model for school districtsacross the country. In addition, AUSL and Mass Insight will create the School Turnaround Institute ofAmerica to train turnaround operators to implement this successful model in other districts across the country.""",AP4: Persistently Low-Performing Schools,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ LEA,Validation,5 years,30000000,No,"Chicago, IL
(41.9443, -87.8115)"
Academy for Urban School Leadership,Transition Turnaround Supports,C,IL,60634,"""The Academy for Urban School Leadership (AUSL) and official partner, Chicago Public Schools (CPS), are applying for a $5,000,000 Development grant to develop and test alternative approaches to sustaining or accelerating academic progress in turnaround schools after the initial 2-3 year period of intensive interventions. This initiative will serve 34,000 students in Chicago elementary schools by 2016, and potentially many thousands more as AUSL's models are shared with other organizations managing turnaround schools across the country. ?????""",AP4: Persistently Low-Performing Schools,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ LEA,Development,5 years,5000000,No,"C, IL
(41.9443, -87.8115)"
Accelerate Oregon Foundation,Accelerating Oregon Student Achievement,Portland,OR,97209,"""Accelerate Oregon Foundation (AO) is a non-profit organization founded to assist the Oregon school systemobtain funds and other resources in order to reduce student dropout rates through the use of advancedtechnology. AO has no employees but through partnership arrangements with the Oregon Department ofEducation (ODE), Oregon State University (OSU), and several local and national private companies hasobtained commitment for both human and financial resources to make major strides in the accomplishment ofits objectives. For example, AO arranged a wide-ranging agreement between ODE and Google in May, 2010to provide the latest Google services and software to Oregon Students. In addition, this application issupported by Cisco, Intel, and Smart Technologies.Specifically, AO?s application for the i3 Education Grant is to provide creative and innovative online learningservices (mainly) to 730 rural school classrooms where large numbers of ?at-risk? students attend. Funds willbe used to provide classroom video and audio capabilities to approximately 25,000 students for accessingonline services and content licensed for teacher and student use and provided at no cost to the schools.What?s unique about AO?s approach is that the content is open source and utilizes the latest ?cloud computing?approach so that the only application running at the user?s end is an Internet Brower. Teachers can gain accessto the core curriculum, easily customize and localize the content for his/her class, and then retain it for futureuse at a centrally-located hosting managed by OSU. Furthermore, all the content is aligned to Oregon StateEducation Standards.The content is diverse, including full course templates licensed from a number of sources, learning objects thatcan be used to created presentations and class coursework, and over 16,000 learning videos that can be used Inself-help scenarios, as an example, such as for English-deficient or physically handicapped students.""",AP2: Use of Data,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Development,3 years,6170483,No,"Portland, OR
(45.5318, -122.681)"
Accord Institute of Education Research,Open Technology Integrated Assignment Archive and Resources,Tustin,CA,92647,,AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Development,3 years,4258776,No,"Tustin, CA
(33.721, -118.003)"
"Action for Bridgeport Community Development, Inc.",Bridgeport's Total Learning Initiative,Bridgeport,CT,6604,"""Based on research findings in social policy, education, neurology, and childhood development, the Total Learning model of early elementary education is a 'whole child' approach. Previously subjected to two experimental control trials, it is a system that substantially and significantly increases academic performance outcomes of Bridgeport's poor and disadvantaged elementary school students. Key elements of the model include: (1) an enhanced learning environment, including an extended school day; 2) an arts-infused, multi-modal, multi-sensory approach to core curriculum delivery; (3) classroom-embedded professional development and support for teachers; (4) extensive family services and support; and (5) intensive home-based mental health services and interventions for children at risk and their families. ABCD, Inc. and the Bridgeport LEA request funds from the US Department of Education, Office of Innovation and Improvement's i3 development grant program to further develop and refine the model and to extend the TL Initiative into Bridgeport's lowest-performing schools.""",AP4: Persistently Low-Performing Schools,CP5: Early Learning,Nonprofit w/ LEA,Development,3 years,4999998,No,"Bridgeport, CT
(41.1807, -73.193)"
Adams County Education Consortium,POST SECONDARY & WORKFORCE READY: A MODEL APPROACH TO BRIDGING THE GAP BETWEEN ASPIRATION AND EDUCATION FOR ALL STUDENTS,Westminster,CO,80234,"""ACED functioning in cooperation with K-14 education and business, will convene resources to improve the work force readiness of Adams County's Students based on the Colorado Achievement Plan for Kids (CAP4Kids) legislation and PWR definition which incorporates Core Content Standards and Learning and Life Skills, Critical Thinking, and Problem Solving.  The measure for readiness for grades 8-12 is the implementation of the Individual Careeer and Academic Plan (ICAP).In order to enhance growth in student achievement, teachers and administrators will be provided with a system to monitor individual student growth on indentified content standards, based on the state assesments (currently SCAP and ACT).We will focus on high need target areas including: (1) improvement in writing skill for all studnets 6-14; (2) teaching and measuring the Colorado newly adopted K-12 Financial Literacy standards to be measured on the Math assessment; and (3) advancing growth in content skill for students who are significantly defecient and have not found success or been able to earn credit through traditional classroom methods.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,Nonprofit w/ LEA,Development,3 years,5000000,No,"Westminster, CO
(39.9031, -105.005)"
Adams County School District 1,Great Start: Early Childhood Education,Denver,CO,80229,"""Mapleton seeks i3 Development funding to support 'Great Start:  Early Childhood Education,' a high-potential and relatively untested program, the efficacy of which should be systematically studied.  Great Start is a 0-3 program that will initially serve 120 children using Montessori curriculum with early Head Start social-emotional and family supports.  This proposal provides evidence that the proposed program, or one similar to it, has been attempted previously, albeit on a limited scale or in a limited setting, and has yielded promising results that suggest that a more formal and systematic study is warranted.  The proposal provides a rationale for Great Start:  Early Childhood Education that is based on research findings or reasonable hypotheses, including related research and theories in education, especially those having to do with Montessori approaches to early childhood education.  The overall project objective is to increase low academic performance in low-achieving schools by offering birth - 3 early childhood programming to children in the Mapleton Public School District boundaries. If positive results are obtained, the school district will work with four other school districts in Adams County, as well as with multiple county agencies, to bring birth to 3 programming to as many as 100,000 children.""",AP4: Persistently Low-Performing Schools,CP5: Early Learning,LEA,Development,3 years,4999280,Yes,"Denver, CO
(39.8502, -104.97)"
Adams County School District 50,"Supporting Teachers, Supporting Us",Westminster,CO,80030,"""Supporting Teachers Supporting Us is a three year program designed to remain self sustaining after its implementation and will remain an integral, ongoing professional development program for teachers and principals at all 19 of our schools. By  ncorpororating mentoring, hands on learning, instant feedback with state of the art technology and training tools, students will demonstrate measureable success. Using PD360, student demographics gathered and statistically tested for significant difference to ensure appropriate matching of classroom groups, included student age and gender. Teacher demographics will be assessed in every case in order to describe difference potentially explanatory for results, including, for example, age, gender and years of teaching experience. Increases in students scores on standardized achievement tests, reductions in achievement gaps, higher growth rates (year-to-year slopes) and higher levels of student achievement, i.e. percent of students at proficient or superior levels, are achievable outcomes. Supporting Teachers, Supporting Us will build on innovative changes already underway and is the next step outlined in a stragdgy developed in 2007-08.""",AP1: Effective Teachers and Principals,CP7: Unique Learning Needs,LEA,Development,3 years,4510020,No,"Westminster, CO
(39.8289, -105.037)"
Adelphi University,Science and Math Applied Real-Problem Teaching (S.M.A.R.T.),Garden City,NY,11530,"""The SMART program incorporates sustained professional development of high school math and science teachers; an innovative high school science and math curriculum; and a partnership between schools, museums, a major science fair, and a university.  The professional development includes a week-long Summer Institute each year.  The teachers who participate in the institutes will serve as program facilitators in their home schools, leading professional development sessions for the other science and math teachers twice each month.  The foundation of the SMART curriculum is a problem-based, hands-on physics course for students in their freshman year of high school.  The mathematics courses that follow in the sophomore through senior years will incorporate hands-on physics and engineering problems to give the mathematics context and enhance the students' overall understanding of the material while exposing them to practical applications.  Juniors and seniors will be encouraged to develop a science fair project, with the Adelphi faculty available as potential mentors.  The entire program is based on a community partnership approach, drawing on expertise from many institutions to strengthen the educational mission. The SMART will increase the number of effective high school science and math teachers, improve the overall quality of 9-12 science and math instruction, increase student success in science and math courses in high school, and increase student participation in college studies in STEM disciplines.  The schools will be visited regularly by Adelphi faculty members and the external evaluator to support these efforts, which will allow for the evolution and improvement of all aspects of the program in real time.  Expected outcomes include increased effectiveness of the current math and science teachers in the program, increased numbers of students from these schools who pursue STEM""",AP1: Effective Teachers and Principals,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Development,5 years,4518748,No,"Garden City, NY
(40.7192, -73.6889)"
Admission Control (dba College Forward),College Forward Partnership for Higher Education,Austin,TX,78714,"""College Forward, an Austin-based 501(c)(3) nonprofit organization, seeks an i3 Development Grant in the amount of $4,135,000 to develop, improve, and evaluate the organization?s most promising practices.Working in close partnership with the Manor Independent School District and five other initial school districts, the College Forward Partnership for Higher Education will utilize i3 funds to address Absolute Priority 3 (Implementation of High Standards and High Quality Assessments), as well as Competitive Preference Priority 6 (College Access and Success). The project will leverage public dollars with investments from the private sector to close the achievement gap by supporting the high school graduation and college enrollment, retention, and completion rates of thousands of high need students who otherwise lack access to higher education.The proposed project will accomplish three goals: (1) strengthen the services we currently provide by improving curriculum and enhance our ability to track high school students through baccalaureate attainment; (2) expand the reach of our program after considering a variety of approaches to bring our program to scale; and (3) complete a rigorous external evaluation of our program ? both a process review and an outcomes-based analysis ? conducted by the Ray Marshall Center at the University of Texas to assess the net impact of our program, aid our internal improvement, and inform our expansion. With i3 support, College Forward will make college a reality for more than 3,000 high need students by 2014. We have high expectations for their success: 100% of students in our high school program to date have applied to college, 98% have been accepted, and of those, 87% have been admitted to four-year colleges. It is our belief that access to higher education is the right of every young Texan, and it is our aspiration to contribute to a future where college is a possibility for every student in America.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,Nonprofit w/ LEA,Development,4 years,4135000,No,"Austin, TX
(30.2688, -97.7412)"
Admission Possible,Admission Possible College Access Program,Saint Paul,MN,55104,"""Admission Possible, partnering with Milwaukee Public Schools and five schools in the Twin Cities, seeks a Development Grant of $5 million to support the growth of our program to serve nearly 12,000 students over the next 5 years. This effort will serve low-income high school students as they prepare for and earn admission to college by providing test preparation services, college application support, help with financial aid and scholarships, and guidance in the college transition. Over the past 10 years, our students have seen ACT score increases of more than 20%; 98% have been admitted to college; and more than 80% of our college students remain enrolled in college or have earned their degree. Our key innovation is using a national service model to increase college access; this approach allows us to provide intensive services at a low cost that makes it scaleable. Last June, President Obama commended our work by stating, 'Admission Possible operates in just two states now.  So imagine if it was 10, or 20, or 50.' This grant would support growth of our innovative program to serve additional students in the Twin Cities, Milwaukee, and a third site. A random assignment evaluation will be used to demonstrate the program's effectiveness; funding for the evaluation has been identified and the evaluator, Dr. Chris Avery of Harvard Kennedy School, has been secured. As an AmeriCorps program, Admission Possible has raised $4 of private sector support for each federal dollar awarded and a history of sustainable growth. Our record of success, ability to leverage private funds, and singular focus on the important national goal of college access lead us to seek this federal support to expand our efforts to serve many more of the 200,000 low-income high school students who could go to college every year, but don't. I3 funding could launch our national growth strategy designed to serve up to 20,000 students annually in the next 5 years.""",AP4: Persistently Low-Performing Schools,CP6: College Access and Success College Access and Success,Nonprofit w/ LEA,Development,5 years,5000000,No,"Saint Paul, MN
(44.9555, -93.1605)"
